vw_bits	vw_init_wt	features	training_labels	labels_queried	Aloha_pred_sec	Aloha_error	VW_pred_sec	VW_error
20	1E-05	50	1000	500	1250.956	180.525	1493.12	78.994
20	1E-06	50	500	500	1337.577	15.157	1434.629	161.453
20	1E-06	50	1000	500	1329.508	3.804	1423.46	177.353
22	1E-05	50	500	500	1208.164	172.872	1329.945	163.176
22	1E-05	50	1000	500	1301.533	121.616	1495.636	117.705
22	1E-06	50	500	500	1296.631	129.516	1432.56	188.704
22	1E-06	50	1000	500	1341.302	4.64	1297.37	89.587
20	1E-05	50	1000	1000	619.263	74.067	628.403	21.705
20	1E-06	50	1000	1000	651.582	60.884	664.971	68.822
22	1E-05	50	1000	1000	622.037	60.648	685.389	70.62
22	1E-06	50	1000	1000	605.33	70.277	755.641	40.314
20	1E-05	100	200	2	27326.157	4301.49	77193.824	5924.638
20	1E-06	100	200	2	31095.074	2744.156	72332.436	311.487
22	1E-05	100	200	2	29938.27	3189.806	74460.005	4280.007
22	1E-06	100	200	2	26760.099	448.202	73372.621	2794.181
20	1E-05	100	500	5	26562.373	2731.08	53757.416	5182.47
20	1E-06	100	500	5	24093.987	3706.486	56042.137	6301.272
22	1E-05	100	500	5	25344.996	2825.028	53191.772	1859.218
22	1E-06	100	500	5	22994.083	2308.827	52520.844	194.478
20	1E-05	100	1000	10	21085.504	2635.47	37070.73	4143.946
20	1E-06	100	1000	10	21552.86	2329.185	37597.555	3613.969
22	1E-05	100	1000	10	21317.304	2760.449	40273.252	156.556
22	1E-06	100	1000	10	22311.991	1404.721	34842.909	107.212
20	1E-05	100	200	20	15762.372	2555.838	20142.966	1992.545
20	1E-06	100	200	20	15231.737	1951.106	19681.502	297.359
22	1E-05	100	200	20	15413.395	2070.358	23936.63	1816.787
22	1E-06	100	200	20	14269.427	1171.092	20325.731	1176.649
20	1E-05	100	500	50	9980.932	137.86	10247.79	1298.162
20	1E-06	100	500	50	8509.091	1478.1	10833.839	826.486
22	1E-05	100	500	50	9497.577	891.643	10188.759	1026.14
22	1E-06	100	500	50	8916.918	1595.837	10850.102	1313.942
20	1E-05	100	200	100	5275.245	636.87	5898.198	414.9
20	1E-05	100	1000	100	5944.805	37.89	5700.924	638.384
20	1E-06	100	200	100	5468.833	628.773	5597.58	648.526
20	1E-06	100	1000	100	5580.7	521.706	5206.547	348.278
22	1E-05	100	200	100	5059.729	350.538	5193.469	18.772
22	1E-05	100	1000	100	5130.105	571.41	5310.995	1075.127
22	1E-06	100	200	100	5532.59	634.682	5254.628	518.247
22	1E-06	100	1000	100	5703.911	554.934	5144.165	21.064
20	1E-05	100	200	200	2793.422	101.103	2979.372	239.157
20	1E-06	100	200	200	3211.621	24.926	2626.845	15.063
22	1E-05	100	200	200	2983.125	381.187	2659.506	290.338
22	1E-06	100	200	200	2768.057	461.298	2690.893	14.075
20	1E-05	100	500	250	2326.77	199.255	2159.232	223.847
20	1E-06	100	500	250	2333.791	316.374	2364.764	268.087
22	1E-05	100	500	250	2362.594	286.637	2529.488	22.407
22	1E-06	100	500	250	2449.114	253.091	2285.357	274.567
20	1E-05	100	500	500	1244.776	135.549	1056.939	2.686
20	1E-05	100	1000	500	1219.289	164.503	1103.237	99.409
20	1E-06	100	500	500	1186.039	183.349	1210.227	118.335
20	1E-06	100	1000	500	1221.727	158.905	1232.181	16.135
22	1E-05	100	500	500	1296.385	113.011	1119.625	151.338
22	1E-05	100	1000	500	1223.478	157.716	1208.224	137.344
22	1E-06	100	500	500	1250.383	126.912	1080.935	42.917
22	1E-06	100	1000	500	1137.195	94.488	1064.735	3.004
20	1E-05	100	1000	1000	613.932	64.84	540.109	67.683
20	1E-06	100	1000	1000	640.308	61.852	558.999	61.103
22	1E-05	100	1000	1000	669.657	4.337	536.51	30.676
22	1E-06	100	1000	1000	567.369	44.356	529.189	39.746
